comparison,metric,primary_test,paired_units,clusters,conditions_per_dataset_seed_cluster,mean_delta,median_delta,cluster_mean_delta,cluster_median_delta,positive_clusters,negative_clusters,zero_clusters,p_raw,p_holm,holm_rank,exact_assignments,legacy_cell_level_monte_carlo_p,legacy_monte_carlo_permutations,legacy_monte_carlo_seed,legacy_monte_carlo_resolution_floor,interpretation
linear_svm_hinge_minus_softmax_logreg,macro_f1,cluster_level_exact_sign_flip_not_cell_level_independent,540,15,36,-0.0462770517823238,-0.03228625043926053,-0.04627705178232381,-0.043521028991482434,0,15,0,6.103515625e-05,0.00018310546875,1,32768,0.000244081034903588,4096,31415,0.000244081034903588,finite-grid cluster diagnostic; not a universal inference claim
multinomial_nb_minus_softmax_logreg,macro_f1,cluster_level_exact_sign_flip_not_cell_level_independent,540,15,36,0.010389249181941913,0.015792686096491704,0.010389249181941928,0.03175085120518459,10,5,0,0.30511474609375,0.30511474609375,3,32768,0.000244081034903588,4096,31415,0.000244081034903588,finite-grid cluster diagnostic; not a universal inference claim
trimmed_softmax_logreg_minus_softmax_logreg,macro_f1,cluster_level_exact_sign_flip_not_cell_level_independent,540,15,36,-0.10506720341289469,-0.10371662449643387,-0.10506720341289467,-0.13167235529699706,0,15,0,6.103515625e-05,0.00018310546875,2,32768,0.000244081034903588,4096,31415,0.000244081034903588,finite-grid cluster diagnostic; not a universal inference claim
