dataset,budget_per_class,noise_rate,noise_type,method,seed,label,label_name,clean_support,precision,recall,f1
dbpedia_14,8,0.0,symmetric,softmax_logreg,404,5,class_5,200,0.6613545816733067,0.83,0.7361419068736141
dbpedia_14,8,0.0,symmetric,softmax_logreg,404,6,class_6,200,0.7540983606557377,0.69,0.7206266318537858
dbpedia_14,8,0.0,symmetric,softmax_logreg,404,7,class_7,200,0.6818181818181818,0.9,0.7758620689655172
dbpedia_14,8,0.0,symmetric,softmax_logreg,404,8,class_8,200,0.9790575916230366,0.935,0.9565217391304348
dbpedia_14,8,0.0,symmetric,softmax_logreg,404,9,class_9,200,0.8048780487804879,0.495,0.6130030959752323
dbpedia_14,8,0.0,symmetric,softmax_logreg,404,10,class_10,200,0.6054421768707483,0.89,0.7206477732793523
dbpedia_14,8,0.0,symmetric,softmax_logreg,404,11,class_11,200,0.825531914893617,0.97,0.8919540229885058
dbpedia_14,8,0.0,symmetric,softmax_logreg,404,12,class_12,200,0.9310344827586207,0.945,0.9379652605459057
dbpedia_14,8,0.0,symmetric,softmax_logreg,404,13,class_13,200,0.8475609756097561,0.695,0.7637362637362637
dbpedia_14,8,0.0,symmetric,softmax_logreg,505,0,class_0,200,0.6566265060240963,0.545,0.5956284153005463
dbpedia_14,8,0.0,symmetric,softmax_logreg,505,1,class_1,200,0.7949790794979079,0.95,0.8656036446469249
dbpedia_14,8,0.0,symmetric,softmax_logreg,505,2,class_2,200,0.6428571428571429,0.54,0.5869565217391305
dbpedia_14,8,0.0,symmetric,softmax_logreg,505,3,class_3,200,0.8715083798882681,0.78,0.8232189973614776
dbpedia_14,8,0.0,symmetric,softmax_logreg,505,4,class_4,200,0.7256637168141593,0.82,0.7699530516431924
dbpedia_14,8,0.0,symmetric,softmax_logreg,505,5,class_5,200,0.8010204081632653,0.785,0.7929292929292928
dbpedia_14,8,0.0,symmetric,softmax_logreg,505,6,class_6,200,0.5880149812734082,0.785,0.6723768736616702
dbpedia_14,8,0.0,symmetric,softmax_logreg,505,7,class_7,200,0.9554140127388535,0.75,0.8403361344537814
dbpedia_14,8,0.0,symmetric,softmax_logreg,505,8,class_8,200,0.9565217391304348,0.99,0.972972972972973
dbpedia_14,8,0.0,symmetric,softmax_logreg,505,9,class_9,200,0.78125,0.625,0.6944444444444444
dbpedia_14,8,0.0,symmetric,softmax_logreg,505,10,class_10,200,0.6549019607843137,0.835,0.7340659340659341
dbpedia_14,8,0.0,symmetric,softmax_logreg,505,11,class_11,200,0.8109243697478992,0.965,0.8812785388127853
dbpedia_14,8,0.0,symmetric,softmax_logreg,505,12,class_12,200,0.8947368421052632,0.935,0.9144254278728606
dbpedia_14,8,0.0,symmetric,softmax_logreg,505,13,class_13,200,0.9097744360902256,0.605,0.7267267267267268
dbpedia_14,8,0.0,symmetric,multinomial_nb,101,0,class_0,200,0.8227848101265823,0.65,0.7262569832402235
dbpedia_14,8,0.0,symmetric,multinomial_nb,101,1,class_1,200,0.805,0.805,0.805
dbpedia_14,8,0.0,symmetric,multinomial_nb,101,2,class_2,200,0.7313432835820896,0.49,0.5868263473053892
dbpedia_14,8,0.0,symmetric,multinomial_nb,101,3,class_3,200,0.6806083650190115,0.895,0.7732181425485962
dbpedia_14,8,0.0,symmetric,multinomial_nb,101,4,class_4,200,0.7272727272727273,0.76,0.7432762836185819
dbpedia_14,8,0.0,symmetric,multinomial_nb,101,5,class_5,200,0.8588235294117647,0.73,0.7891891891891891
dbpedia_14,8,0.0,symmetric,multinomial_nb,101,6,class_6,200,0.7151515151515152,0.59,0.6465753424657534
dbpedia_14,8,0.0,symmetric,multinomial_nb,101,7,class_7,200,0.8103448275862069,0.94,0.8703703703703703
dbpedia_14,8,0.0,symmetric,multinomial_nb,101,8,class_8,200,0.910377358490566,0.965,0.9368932038834951
dbpedia_14,8,0.0,symmetric,multinomial_nb,101,9,class_9,200,0.6398104265402843,0.675,0.6569343065693429
dbpedia_14,8,0.0,symmetric,multinomial_nb,101,10,class_10,200,0.6978021978021978,0.635,0.6649214659685864
dbpedia_14,8,0.0,symmetric,multinomial_nb,101,11,class_11,200,0.7950819672131147,0.97,0.8738738738738738
