dataset,budget_per_class,noise_rate,noise_type,method,seed,status,old_accuracy,new_accuracy,delta_accuracy,old_macro_f1,new_macro_f1,delta_macro_f1
ag_news,128,0.0,symmetric,linear_svm_hinge,303,compared,0.75375,0.75375,0.0,0.7511025423604892,0.7511025423604892,0.0
ag_news,128,0.0,symmetric,linear_svm_hinge,404,compared,0.7575,0.7575,0.0,0.752356129410924,0.752356129410924,0.0
ag_news,128,0.0,symmetric,linear_svm_hinge,505,compared,0.7475,0.7475,0.0,0.7487155595438545,0.7487155595438545,0.0
dbpedia_14,8,0.0,class_conditional,linear_svm_hinge,101,compared,0.6739285714285714,0.6739285714285714,0.0,0.6424851833966486,0.6424851833966486,0.0
dbpedia_14,8,0.0,class_conditional,linear_svm_hinge,202,compared,0.6532142857142857,0.6532142857142857,0.0,0.6002077427790097,0.6002077427790097,0.0
dbpedia_14,8,0.0,class_conditional,linear_svm_hinge,303,compared,0.5703571428571429,0.5703571428571429,0.0,0.5470318628987813,0.5470318628987813,0.0
dbpedia_14,8,0.0,class_conditional,linear_svm_hinge,404,compared,0.7096428571428571,0.7096428571428571,0.0,0.6997917080417623,0.6997917080417623,0.0
dbpedia_14,8,0.0,class_conditional,linear_svm_hinge,505,compared,0.6239285714285714,0.6239285714285714,0.0,0.5979997313746733,0.5979997313746733,0.0
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,101,compared,0.6739285714285714,0.6739285714285714,0.0,0.6424851833966486,0.6424851833966486,0.0
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,202,compared,0.6532142857142857,0.6532142857142857,0.0,0.6002077427790097,0.6002077427790097,0.0
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,303,compared,0.5703571428571429,0.5703571428571429,0.0,0.5470318628987813,0.5470318628987813,0.0
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,404,compared,0.7096428571428571,0.7096428571428571,0.0,0.6997917080417623,0.6997917080417623,0.0
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,505,compared,0.6239285714285714,0.6239285714285714,0.0,0.5979997313746733,0.5979997313746733,0.0
dbpedia_14,16,0.0,class_conditional,linear_svm_hinge,101,compared,0.7417857142857143,0.7417857142857143,0.0,0.7243432212294582,0.7243432212294582,0.0
dbpedia_14,16,0.0,class_conditional,linear_svm_hinge,202,compared,0.7657142857142857,0.7657142857142857,0.0,0.7548782760172426,0.7548782760172426,0.0
dbpedia_14,16,0.0,class_conditional,linear_svm_hinge,303,compared,0.7564285714285715,0.7564285714285715,0.0,0.7298944211908648,0.7298944211908648,0.0
dbpedia_14,16,0.0,class_conditional,linear_svm_hinge,404,compared,0.7328571428571429,0.7328571428571429,0.0,0.7051045259090503,0.7051045259090503,0.0
dbpedia_14,16,0.0,class_conditional,linear_svm_hinge,505,compared,0.6978571428571428,0.6978571428571428,0.0,0.6601050529240073,0.6601050529240073,0.0
dbpedia_14,16,0.0,symmetric,linear_svm_hinge,101,compared,0.7417857142857143,0.7417857142857143,0.0,0.7243432212294582,0.7243432212294582,0.0
dbpedia_14,16,0.0,symmetric,linear_svm_hinge,202,compared,0.7657142857142857,0.7657142857142857,0.0,0.7548782760172426,0.7548782760172426,0.0
dbpedia_14,16,0.0,symmetric,linear_svm_hinge,303,compared,0.7564285714285715,0.7564285714285715,0.0,0.7298944211908648,0.7298944211908648,0.0
dbpedia_14,16,0.0,symmetric,linear_svm_hinge,404,compared,0.7328571428571429,0.7328571428571429,0.0,0.7051045259090503,0.7051045259090503,0.0
