dataset,budget_per_class,noise_rate,noise_type,method,mean_macro_f1,std_macro_f1,n_seeds
ag_news,16,0.2,symmetric,trimmed_softmax_logreg,0.309519,0.037823,5
ag_news,16,0.3,class_conditional,linear_svm_hinge,0.369732,0.058683,5
ag_news,16,0.3,class_conditional,multinomial_nb,0.439793,0.049800,5
ag_news,16,0.3,class_conditional,softmax_logreg,0.384617,0.049145,5
ag_news,16,0.3,class_conditional,trimmed_softmax_logreg,0.300003,0.018220,5
ag_news,16,0.3,symmetric,linear_svm_hinge,0.389217,0.045600,5
ag_news,16,0.3,symmetric,multinomial_nb,0.437858,0.046077,5
ag_news,16,0.3,symmetric,softmax_logreg,0.359804,0.049835,5
ag_news,16,0.3,symmetric,trimmed_softmax_logreg,0.284604,0.021528,5
ag_news,32,0.0,class_conditional,linear_svm_hinge,0.631888,0.035605,5
ag_news,32,0.0,class_conditional,multinomial_nb,0.702758,0.010911,5
ag_news,32,0.0,class_conditional,softmax_logreg,0.682114,0.015545,5
ag_news,32,0.0,class_conditional,trimmed_softmax_logreg,0.627544,0.029857,5
ag_news,32,0.0,symmetric,linear_svm_hinge,0.631888,0.035605,5
ag_news,32,0.0,symmetric,multinomial_nb,0.702758,0.010911,5
ag_news,32,0.0,symmetric,softmax_logreg,0.682114,0.015545,5
ag_news,32,0.0,symmetric,trimmed_softmax_logreg,0.627544,0.029857,5
ag_news,32,0.05,class_conditional,linear_svm_hinge,0.570751,0.024056,5
ag_news,32,0.05,class_conditional,multinomial_nb,0.673197,0.015694,5
ag_news,32,0.05,class_conditional,softmax_logreg,0.646099,0.015055,5
ag_news,32,0.05,class_conditional,trimmed_softmax_logreg,0.456940,0.054482,5
ag_news,32,0.05,symmetric,linear_svm_hinge,0.585944,0.072474,5
ag_news,32,0.05,symmetric,multinomial_nb,0.673557,0.011388,5
ag_news,32,0.05,symmetric,softmax_logreg,0.648519,0.017342,5
ag_news,32,0.05,symmetric,trimmed_softmax_logreg,0.454778,0.036597,5
ag_news,32,0.1,class_conditional,linear_svm_hinge,0.560616,0.045422,5
ag_news,32,0.1,class_conditional,multinomial_nb,0.644575,0.025499,5
ag_news,32,0.1,class_conditional,softmax_logreg,0.610704,0.020563,5
ag_news,32,0.1,class_conditional,trimmed_softmax_logreg,0.430061,0.046584,5
ag_news,32,0.1,symmetric,linear_svm_hinge,0.561173,0.028345,5
ag_news,32,0.1,symmetric,multinomial_nb,0.657961,0.025814,5
ag_news,32,0.1,symmetric,softmax_logreg,0.622228,0.038792,5
ag_news,32,0.1,symmetric,trimmed_softmax_logreg,0.405186,0.068184,5
ag_news,32,0.2,class_conditional,linear_svm_hinge,0.513826,0.029428,5
ag_news,32,0.2,class_conditional,multinomial_nb,0.601607,0.014389,5
ag_news,32,0.2,class_conditional,softmax_logreg,0.565815,0.024681,5
ag_news,32,0.2,class_conditional,trimmed_softmax_logreg,0.477488,0.032780,5
ag_news,32,0.2,symmetric,linear_svm_hinge,0.491745,0.027372,5
ag_news,32,0.2,symmetric,multinomial_nb,0.597368,0.013828,5
ag_news,32,0.2,symmetric,softmax_logreg,0.540656,0.046680,5
ag_news,32,0.2,symmetric,trimmed_softmax_logreg,0.383309,0.036227,5
ag_news,32,0.3,class_conditional,linear_svm_hinge,0.499555,0.053286,5
ag_news,32,0.3,class_conditional,multinomial_nb,0.541080,0.028904,5
ag_news,32,0.3,class_conditional,softmax_logreg,0.499435,0.043599,5
ag_news,32,0.3,class_conditional,trimmed_softmax_logreg,0.361002,0.048507,5
ag_news,32,0.3,symmetric,linear_svm_hinge,0.462690,0.042961,5
ag_news,32,0.3,symmetric,multinomial_nb,0.552532,0.029273,5
ag_news,32,0.3,symmetric,softmax_logreg,0.480960,0.046723,5
ag_news,32,0.3,symmetric,trimmed_softmax_logreg,0.376784,0.020398,5
ag_news,64,0.0,class_conditional,linear_svm_hinge,0.675953,0.050695,5
ag_news,64,0.0,class_conditional,multinomial_nb,0.758155,0.008209,5
ag_news,64,0.0,class_conditional,softmax_logreg,0.737919,0.010505,5
ag_news,64,0.0,class_conditional,trimmed_softmax_logreg,0.688223,0.029069,5
ag_news,64,0.0,symmetric,linear_svm_hinge,0.675953,0.050695,5
ag_news,64,0.0,symmetric,multinomial_nb,0.758155,0.008209,5
ag_news,64,0.0,symmetric,softmax_logreg,0.737919,0.010505,5
ag_news,64,0.0,symmetric,trimmed_softmax_logreg,0.688223,0.029069,5
ag_news,64,0.05,class_conditional,linear_svm_hinge,0.683872,0.027271,5
ag_news,64,0.05,class_conditional,multinomial_nb,0.746502,0.005778,5
ag_news,64,0.05,class_conditional,softmax_logreg,0.727048,0.010281,5
ag_news,64,0.05,class_conditional,trimmed_softmax_logreg,0.592230,0.056384,5
ag_news,64,0.05,symmetric,linear_svm_hinge,0.635630,0.034410,5
ag_news,64,0.05,symmetric,multinomial_nb,0.744545,0.007024,5
ag_news,64,0.05,symmetric,softmax_logreg,0.725676,0.011195,5
ag_news,64,0.05,symmetric,trimmed_softmax_logreg,0.555735,0.037063,5
ag_news,64,0.1,class_conditional,linear_svm_hinge,0.633029,0.062047,5
ag_news,64,0.1,class_conditional,multinomial_nb,0.721859,0.009444,5
ag_news,64,0.1,class_conditional,softmax_logreg,0.691270,0.014582,5
ag_news,64,0.1,class_conditional,trimmed_softmax_logreg,0.498193,0.041218,5
ag_news,64,0.1,symmetric,linear_svm_hinge,0.642102,0.036286,5
ag_news,64,0.1,symmetric,multinomial_nb,0.721501,0.010252,5
ag_news,64,0.1,symmetric,softmax_logreg,0.684298,0.019411,5
ag_news,64,0.1,symmetric,trimmed_softmax_logreg,0.506389,0.066699,5
ag_news,64,0.2,class_conditional,linear_svm_hinge,0.551167,0.041827,5
ag_news,64,0.2,class_conditional,multinomial_nb,0.683318,0.013359,5
ag_news,64,0.2,class_conditional,softmax_logreg,0.626352,0.025261,5
ag_news,64,0.2,class_conditional,trimmed_softmax_logreg,0.489553,0.008685,5
ag_news,64,0.2,symmetric,linear_svm_hinge,0.534894,0.074368,5
ag_news,64,0.2,symmetric,multinomial_nb,0.688486,0.011737,5
ag_news,64,0.2,symmetric,softmax_logreg,0.632524,0.030603,5
ag_news,64,0.2,symmetric,trimmed_softmax_logreg,0.440016,0.031510,5
ag_news,64,0.3,class_conditional,linear_svm_hinge,0.529555,0.060218,5
