dataset,budget_per_class,noise_rate,noise_type,method,n_cells,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1
ag_news,8,0.0,class_conditional,linear_svm_hinge,5,0.48450000000000004,0.043052293783258526,0.4744640687374389,0.04662790924490872
ag_news,8,0.0,class_conditional,multinomial_nb,5,0.5174999999999998,0.030872722588071173,0.5162545996234045,0.030568996776956778
ag_news,8,0.0,class_conditional,softmax_logreg,5,0.4955,0.035041047358776264,0.49301237899308215,0.03437769213697142
ag_news,8,0.0,class_conditional,trimmed_softmax_logreg,5,0.4455,0.05872925165537189,0.41637689305760894,0.0760357645647818
ag_news,8,0.0,symmetric,linear_svm_hinge,5,0.48450000000000004,0.043052293783258526,0.4744640687374389,0.04662790924490872
ag_news,8,0.0,symmetric,multinomial_nb,5,0.5174999999999998,0.030872722588071173,0.5162545996234045,0.030568996776956778
ag_news,8,0.0,symmetric,softmax_logreg,5,0.4955,0.035041047358776264,0.49301237899308215,0.03437769213697142
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,5,0.4455,0.05872925165537189,0.41637689305760894,0.0760357645647818
ag_news,8,0.05,class_conditional,linear_svm_hinge,5,0.45575,0.03775413884595964,0.43432059493807407,0.0477818813127639
ag_news,8,0.05,class_conditional,multinomial_nb,5,0.5032500000000001,0.022701872169492973,0.49833871163429266,0.025642697055636238
ag_news,8,0.05,class_conditional,softmax_logreg,5,0.46825,0.027370147971832386,0.4587072374378879,0.031300194752503264
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,5,0.4135,0.015070666873101532,0.3524657632666912,0.017797147491673524
ag_news,8,0.05,symmetric,linear_svm_hinge,5,0.44675000000000004,0.04667440412045988,0.4294810547223607,0.052714225712267394
ag_news,8,0.05,symmetric,multinomial_nb,5,0.492,0.03017242118226511,0.48500597420364616,0.031215553326323305
ag_news,8,0.05,symmetric,softmax_logreg,5,0.45299999999999996,0.042401356110388734,0.43899165595544265,0.044416509896214214
ag_news,8,0.05,symmetric,trimmed_softmax_logreg,5,0.38175,0.051832663446903834,0.3138587764541446,0.05927257014978978
ag_news,8,0.1,class_conditional,linear_svm_hinge,5,0.45024999999999993,0.02611752285344075,0.4309446385126555,0.03864771761838853
ag_news,8,0.1,class_conditional,multinomial_nb,5,0.48200000000000004,0.023579652245103205,0.47640369578921693,0.02732569721567602
ag_news,8,0.1,class_conditional,softmax_logreg,5,0.44325000000000003,0.029807717121577763,0.4298265564657912,0.03878714790597575
ag_news,8,0.1,class_conditional,trimmed_softmax_logreg,5,0.37075,0.03407345007480163,0.29898307396734036,0.04771619851722286
