dataset,budget_per_class,noise_rate,noise_type,method,delta_accuracy_vs_clean,delta_macro_f1_vs_clean,macro_f1_slope_per_noise_rate
ag_news,8,0.2,class_conditional,linear_svm_hinge,-0.0695,-0.07974482565045898,-0.3987241282522949
ag_news,8,0.2,class_conditional,multinomial_nb,-0.08099999999999985,-0.09185667976765,-0.45928339883825
ag_news,8,0.2,class_conditional,softmax_logreg,-0.09425,-0.1167770621829819,-0.5838853109149095
ag_news,8,0.2,class_conditional,trimmed_softmax_logreg,-0.07124999999999998,-0.11162049479540881,-0.558102473977044
ag_news,8,0.2,symmetric,linear_svm_hinge,-0.10800000000000004,-0.14161850675313054,-0.7080925337656526
ag_news,8,0.2,symmetric,multinomial_nb,-0.12149999999999989,-0.14824561511280165,-0.7412280755640083
ag_news,8,0.2,symmetric,softmax_logreg,-0.1275,-0.17166642894672013,-0.8583321447336006
ag_news,8,0.2,symmetric,trimmed_softmax_logreg,-0.10500000000000004,-0.15478688239319632,-0.7739344119659816
ag_news,8,0.3,class_conditional,linear_svm_hinge,-0.1140000000000001,-0.12651667036907638,-0.4217222345635879
ag_news,8,0.3,class_conditional,multinomial_nb,-0.1332499999999998,-0.1521083332070804,-0.5070277773569347
ag_news,8,0.3,class_conditional,softmax_logreg,-0.15025000000000005,-0.1835485353452327,-0.6118284511507757
ag_news,8,0.3,class_conditional,trimmed_softmax_logreg,-0.129,-0.17494425717304216,-0.5831475239101406
ag_news,8,0.3,symmetric,linear_svm_hinge,-0.14350000000000007,-0.19600367101455551,-0.6533455700485185
ag_news,8,0.3,symmetric,multinomial_nb,-0.14574999999999988,-0.1889575628153169,-0.629858542717723
ag_news,8,0.3,symmetric,softmax_logreg,-0.15449999999999997,-0.21788375869944465,-0.7262791956648156
ag_news,8,0.3,symmetric,trimmed_softmax_logreg,-0.13,-0.20011872064700925,-0.6670624021566975
ag_news,16,0.05,class_conditional,linear_svm_hinge,-0.015249999999999875,-0.014131214007169879,-0.2826242801433976
ag_news,16,0.05,class_conditional,multinomial_nb,-0.029750000000000054,-0.031215322661717115,-0.6243064532343423
ag_news,16,0.05,class_conditional,softmax_logreg,-0.041999999999999815,-0.04421468086310543,-0.8842936172621085
ag_news,16,0.05,class_conditional,trimmed_softmax_logreg,-0.10775000000000007,-0.15528384884259994,-3.1056769768519987
ag_news,16,0.05,symmetric,linear_svm_hinge,-0.019999999999999907,-0.026799016144450127,-0.5359803228890025
ag_news,16,0.05,symmetric,multinomial_nb,-0.01749999999999985,-0.020155073795762535,-0.4031014759152507
ag_news,16,0.05,symmetric,softmax_logreg,-0.023499999999999854,-0.027276677894468526,-0.5455335578893705
ag_news,16,0.05,symmetric,trimmed_softmax_logreg,-0.07150000000000001,-0.10490195098845212,-2.0980390197690424
ag_news,16,0.1,class_conditional,linear_svm_hinge,-0.03574999999999984,-0.0409772030337735,-0.409772030337735
ag_news,16,0.1,class_conditional,multinomial_nb,-0.0442499999999999,-0.04575812932954115,-0.45758129329541153
ag_news,16,0.1,class_conditional,softmax_logreg,-0.05049999999999988,-0.05447423226754988,-0.5447423226754988
ag_news,16,0.1,class_conditional,trimmed_softmax_logreg,-0.11625000000000008,-0.1548954711300351,-1.548954711300351
ag_news,16,0.1,symmetric,linear_svm_hinge,-0.06024999999999986,-0.0746662895069875,-0.746662895069875
ag_news,16,0.1,symmetric,multinomial_nb,-0.06825000000000003,-0.07342819887343377,-0.7342819887343377
ag_news,16,0.1,symmetric,softmax_logreg,-0.08250000000000002,-0.09724685533580008,-0.9724685533580008
ag_news,16,0.1,symmetric,trimmed_softmax_logreg,-0.13650000000000007,-0.19687513184776628,-1.9687513184776628
ag_news,16,0.2,class_conditional,linear_svm_hinge,-0.1002499999999999,-0.11545207727453166,-0.5772603863726583
ag_news,16,0.2,class_conditional,multinomial_nb,-0.08225000000000005,-0.08770501565946387,-0.43852507829731935
ag_news,16,0.2,class_conditional,softmax_logreg,-0.10724999999999996,-0.12219041354491217,-0.6109520677245608
ag_news,16,0.2,class_conditional,trimmed_softmax_logreg,-0.14625000000000005,-0.20768965526760402,-1.03844827633802
ag_news,16,0.2,symmetric,linear_svm_hinge,-0.10649999999999993,-0.12987909124179375,-0.6493954562089688
ag_news,16,0.2,symmetric,multinomial_nb,-0.1087499999999999,-0.11755544079880148,-0.5877772039940073
ag_news,16,0.2,symmetric,softmax_logreg,-0.13249999999999995,-0.16212373299658378,-0.8106186649829189
ag_news,16,0.2,symmetric,trimmed_softmax_logreg,-0.14400000000000002,-0.21213885459045645,-1.0606942729522821
ag_news,16,0.3,class_conditional,linear_svm_hinge,-0.1324999999999999,-0.1469834364427811,-0.4899447881426037
ag_news,16,0.3,class_conditional,multinomial_nb,-0.14275000000000004,-0.15026801394874728,-0.5008933798291576
ag_news,16,0.3,class_conditional,softmax_logreg,-0.1597499999999999,-0.17967510078490723,-0.5989170026163575
ag_news,16,0.3,class_conditional,trimmed_softmax_logreg,-0.176,-0.2421367620829562,-0.8071225402765208
ag_news,16,0.3,symmetric,linear_svm_hinge,-0.1484999999999999,-0.17427773419585874,-0.5809257806528625
ag_news,16,0.3,symmetric,multinomial_nb,-0.14075,-0.15074007544270868,-0.5024669181423623
ag_news,16,0.3,symmetric,softmax_logreg,-0.1519999999999999,-0.17463035616322292,-0.5821011872107431
ag_news,16,0.3,symmetric,trimmed_softmax_logreg,-0.16350000000000003,-0.2231350090695578,-0.7437833635651927
ag_news,64,0.05,class_conditional,linear_svm_hinge,-0.005749999999999922,-0.0037700213696099105,-0.07540042739219821
ag_news,64,0.05,class_conditional,multinomial_nb,-0.011750000000000038,-0.012164458431405567,-0.24328916862811134
ag_news,64,0.05,class_conditional,softmax_logreg,-0.014999999999999791,-0.016860168016206156,-0.3372033603241231
ag_news,64,0.05,class_conditional,trimmed_softmax_logreg,-0.08350000000000002,-0.117473783913842,-2.34947567827684
ag_news,64,0.05,symmetric,linear_svm_hinge,-0.041749999999999954,-0.04534550561345185,-0.9069101122690371
ag_news,64,0.05,symmetric,multinomial_nb,-0.011249999999999982,-0.01126504439351983,-0.2253008878703966
ag_news,64,0.05,symmetric,softmax_logreg,-0.02024999999999988,-0.02207678537204738,-0.4415357074409476
