dataset,budget_per_class,noise_rate,noise_type,method,seed,n_train,n_test,num_classes,actual_noise_fraction,accuracy,macro_f1,runtime_seconds,train_counts,source_kind,method_family,fit_notes
ag_news,8,0.0,symmetric,linear_svm_hinge,303,32,800,4,0.0,0.5025,0.49396797096462847,0.04878711700439453,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.0,symmetric,linear_svm_hinge,404,32,800,4,0.0,0.54,0.5319929229224082,0.0374913215637207,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.0,symmetric,linear_svm_hinge,505,32,800,4,0.0,0.4475,0.4284358601860281,0.03782296180725098,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.0,symmetric,multinomial_nb,101,32,800,4,0.0,0.47,0.46694098128876904,0.04393625259399414,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.0,symmetric,multinomial_nb,202,32,800,4,0.0,0.54875,0.5465210898191208,0.02917957305908203,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.0,symmetric,multinomial_nb,303,32,800,4,0.0,0.51625,0.5201888511949936,0.02938055992126465,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.0,symmetric,multinomial_nb,404,32,800,4,0.0,0.5525,0.54825225906343,0.03422975540161133,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.0,symmetric,multinomial_nb,505,32,800,4,0.0,0.5,0.49936981675070885,0.04544639587402344,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.0,symmetric,softmax_logreg,101,32,800,4,0.0,0.445,0.44513667170672944,0.04295921325683594,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.0,symmetric,softmax_logreg,202,32,800,4,0.0,0.505,0.4998798660634409,0.039876699447631836,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
