dataset,budget_per_class,noise_rate,distilbert_mean_accuracy,distilbert_mean_macro_f1,best_lightweight_method,best_lightweight_macro_f1,delta_macro_f1_vs_best_lightweight,delta_macro_f1_vs_softmax_logreg,delta_macro_f1_vs_trimmed_softmax_logreg
ag_news,8,0.0,0.5017499999999999,0.44105769091192937,multinomial_nb,0.5162545996234045,-0.07519690871147511,-0.05195468808115278,0.024680797854320424
ag_news,8,0.05,0.45824999999999994,0.39485998393407373,multinomial_nb,0.48500597420364616,-0.09014599026957243,-0.04413167202136892,0.08100120747992912
ag_news,8,0.1,0.4114999999999999,0.32662574414806245,multinomial_nb,0.41213730336818505,-0.0855115592201226,-0.03567966279862178,0.01660275761869212
ag_news,8,0.2,0.34674999999999995,0.23890367964754794,multinomial_nb,0.3680089845106028,-0.12910530486305488,-0.08244227039881408,-0.02268633101686468
ag_news,8,0.3,0.27949999999999997,0.15354884972713614,multinomial_nb,0.3272970368080876,-0.17374818708095144,-0.12157977056650135,-0.06270932268346355
ag_news,16,0.0,0.6380000000000001,0.6157575852943534,multinomial_nb,0.6068737567227482,0.00888382857160519,0.03284293305312369,0.08792668349933919
ag_news,16,0.05,0.5785,0.5319994578358249,multinomial_nb,0.5867186829269857,-0.054719225091160784,-0.02363851651093629,0.1090705070292628
ag_news,16,0.1,0.46975,0.40192572907891455,multinomial_nb,0.5334455578493145,-0.13151982877039992,-0.08374206782651511,0.0709699591316666
ag_news,16,0.2,0.43975,0.3629111185447942,multinomial_nb,0.48931831592394676,-0.12640719737915257,-0.05787980069985177,0.047219071340236396
ag_news,16,0.3,0.45824999999999994,0.38060361461065745,multinomial_nb,0.45613368128003956,-0.07553006666938211,-0.027680681467349366,0.07590772188520101
ag_news,64,0.0,0.845,0.843806517250141,multinomial_nb,0.7581554549794329,0.08565106227070807,0.10588763948175517,0.1555832176734364
ag_news,64,0.05,0.8390000000000001,0.8368646214633995,multinomial_nb,0.7468904105859131,0.08997421087748636,0.12102252906706101,0.2482007799016973
ag_news,64,0.1,0.826,0.8224804778927066,multinomial_nb,0.724220103490431,0.09826037440227564,0.1280057609340548,0.28515162344091993
ag_news,64,0.2,0.8282499999999999,0.825892212592702,multinomial_nb,0.6720655305683424,0.15382668202435956,0.19356795394976734,0.40680240526939787
ag_news,64,0.3,0.8004999999999999,0.794787944310469,multinomial_nb,0.6194363357462892,0.17535160856417975,0.21013998848709514,0.396535766089177
ag_news,128,0.0,0.8627499999999999,0.861991505015137,multinomial_nb,0.7976305657540543,0.06436093926108266,0.08683160553876135,0.17623738415841717
ag_news,128,0.05,0.8580000000000002,0.8572312172575444,multinomial_nb,0.7869268771233037,0.0703043401342407,0.09454296505074622,0.21008981557989326
ag_news,128,0.1,0.8655000000000002,0.864749799547021,multinomial_nb,0.7796282317391382,0.08512156780788283,0.11585991486445868,0.26911589715131734
ag_news,128,0.2,0.8465,0.8447728860647536,multinomial_nb,0.7428518518504967,0.10192103421425691,0.13922965525636144,0.3440336043585752
ag_news,128,0.3,0.84275,0.8409751488012637,multinomial_nb,0.7035175490803287,0.13745759972093496,0.1952898543887941,0.38973916300394595
dbpedia_14,8,0.0,0.46699999999999997,0.42375114609064024,softmax_logreg,0.7771924918976146,-0.3534413458069744,-0.3534413458069744,-0.19197052928015956
dbpedia_14,8,0.05,0.4734999999999999,0.4282863830151228,multinomial_nb,0.7195037752809911,-0.2912173922658683,-0.28922393455488804,-0.10862420756374613
dbpedia_14,8,0.1,0.3890714285714286,0.34352538498154395,multinomial_nb,0.6258722396102927,-0.28234685462874876,-0.244650475835545,-0.13844779321876177
dbpedia_14,8,0.2,0.3650714285714286,0.30242881900480156,multinomial_nb,0.5667043683686025,-0.26427554936380093,-0.2164557562486411,-0.1282885261975344
dbpedia_14,8,0.3,0.3381428571428572,0.28293236630845037,multinomial_nb,0.5091715704499505,-0.22623920414150017,-0.16767725480124818,-0.10274657978864105
dbpedia_14,16,0.0,0.7785714285714285,0.7609464694805199,softmax_logreg,0.8382285233865157,-0.07728205390599574,-0.07728205390599574,0.15615291278447208
dbpedia_14,16,0.05,0.7335714285714285,0.7059047500029386,multinomial_nb,0.8175911672477252,-0.11168641724478656,-0.0959074290377736,0.0983942995178585
dbpedia_14,16,0.1,0.7235714285714285,0.6928766317859869,multinomial_nb,0.7873097655843897,-0.09443313379840279,-0.049683373271484976,0.12343352351910086
dbpedia_14,16,0.2,0.6444285714285714,0.6072116677319312,multinomial_nb,0.7377700733536875,-0.13055840562175625,-0.043523638984601654,0.10562358724341125
dbpedia_14,16,0.3,0.5677142857142856,0.5221869599827327,multinomial_nb,0.6894659820551173,-0.16727902207238465,-0.10010089352215656,0.0751795924709398
dbpedia_14,64,0.0,0.9826428571428572,0.9826576958574529,multinomial_nb,0.8945869098083294,0.08807078604912344,0.09334622511150437,0.31890739963609194
dbpedia_14,64,0.05,0.9827142857142859,0.9827274667555391,multinomial_nb,0.8886215748947416,0.09410589186079754,0.10539372321916196,0.27797371292223705
dbpedia_14,64,0.1,0.9809285714285714,0.9809379862822286,multinomial_nb,0.8811077685918601,0.09983021769036848,0.1294870636024147,0.28651587269099354
dbpedia_14,64,0.2,0.9813571428571428,0.9813745515446947,multinomial_nb,0.8613930536210669,0.11998149792362778,0.17544892525890676,0.36572221055141885
dbpedia_14,64,0.3,0.9789285714285715,0.9789204219437039,multinomial_nb,0.8413898341066046,0.13753058783709926,0.19168643728903745,0.40535110661903295
dbpedia_14,128,0.0,0.9845714285714285,0.9845851018654035,multinomial_nb,0.9094927240867727,0.07509237777863076,0.08081305549183837,0.3037291360319001
dbpedia_14,128,0.05,0.9830714285714285,0.9830880247412676,multinomial_nb,0.9025516565579064,0.08053636818336118,0.08833249140167199,0.2585720217548383
dbpedia_14,128,0.1,0.9841428571428571,0.9841549404720787,multinomial_nb,0.9009769993483701,0.08317794112370869,0.09381426656367309,0.2527806267166238
dbpedia_14,128,0.2,0.9827142857142857,0.9827414172314357,multinomial_nb,0.8886121665275668,0.0941292507038689,0.12087314492681622,0.25135676479347513
dbpedia_14,128,0.3,0.9823571428571428,0.9823933037866797,multinomial_nb,0.8776456218299421,0.10474768195673756,0.14698916349556657,0.3099876988081284
trec_qc,8,0.0,0.2028,0.13965388573526838,softmax_logreg,0.44680286741789627,-0.3071489816826279,-0.3071489816826279,-0.2924744470597631
trec_qc,8,0.05,0.21280000000000002,0.13166117698554908,softmax_logreg,0.4113922633767351,-0.27973108639118605,-0.27973108639118605,-0.2690251893756486
trec_qc,8,0.1,0.1648,0.08075916620698988,softmax_logreg,0.3952392836571224,-0.31448011745013255,-0.31448011745013255,-0.30942431616457994
