dataset,budget_per_class,noise_rate,noise_type,method,mean_macro_f1,delta_macro_f1_vs_clean
ag_news,16,0.3,class_conditional,softmax_logreg,0.384617,-0.198297
ag_news,16,0.3,class_conditional,trimmed_softmax_logreg,0.300003,-0.227828
ag_news,16,0.3,symmetric,linear_svm_hinge,0.389217,-0.162433
ag_news,16,0.3,symmetric,multinomial_nb,0.437858,-0.169016
ag_news,16,0.3,symmetric,softmax_logreg,0.359804,-0.223111
ag_news,16,0.3,symmetric,trimmed_softmax_logreg,0.284604,-0.243227
ag_news,32,0.0,class_conditional,linear_svm_hinge,0.631888,0.000000
ag_news,32,0.0,class_conditional,multinomial_nb,0.702758,0.000000
ag_news,32,0.0,class_conditional,softmax_logreg,0.682114,0.000000
ag_news,32,0.0,class_conditional,trimmed_softmax_logreg,0.627544,0.000000
ag_news,32,0.0,symmetric,linear_svm_hinge,0.631888,0.000000
ag_news,32,0.0,symmetric,multinomial_nb,0.702758,0.000000
ag_news,32,0.0,symmetric,softmax_logreg,0.682114,0.000000
ag_news,32,0.0,symmetric,trimmed_softmax_logreg,0.627544,0.000000
ag_news,32,0.05,class_conditional,linear_svm_hinge,0.570751,-0.061136
ag_news,32,0.05,class_conditional,multinomial_nb,0.673197,-0.029561
ag_news,32,0.05,class_conditional,softmax_logreg,0.646099,-0.036015
ag_news,32,0.05,class_conditional,trimmed_softmax_logreg,0.456940,-0.170604
ag_news,32,0.05,symmetric,linear_svm_hinge,0.585944,-0.045943
ag_news,32,0.05,symmetric,multinomial_nb,0.673557,-0.029201
ag_news,32,0.05,symmetric,softmax_logreg,0.648519,-0.033595
ag_news,32,0.05,symmetric,trimmed_softmax_logreg,0.454778,-0.172766
ag_news,32,0.1,class_conditional,linear_svm_hinge,0.560616,-0.071271
ag_news,32,0.1,class_conditional,multinomial_nb,0.644575,-0.058184
ag_news,32,0.1,class_conditional,softmax_logreg,0.610704,-0.071410
ag_news,32,0.1,class_conditional,trimmed_softmax_logreg,0.430061,-0.197483
ag_news,32,0.1,symmetric,linear_svm_hinge,0.561173,-0.070715
ag_news,32,0.1,symmetric,multinomial_nb,0.657961,-0.044798
ag_news,32,0.1,symmetric,softmax_logreg,0.622228,-0.059886
ag_news,32,0.1,symmetric,trimmed_softmax_logreg,0.405186,-0.222358
ag_news,32,0.2,class_conditional,linear_svm_hinge,0.513826,-0.118061
ag_news,32,0.2,class_conditional,multinomial_nb,0.601607,-0.101152
ag_news,32,0.2,class_conditional,softmax_logreg,0.565815,-0.116298
ag_news,32,0.2,class_conditional,trimmed_softmax_logreg,0.477488,-0.150056
ag_news,32,0.2,symmetric,linear_svm_hinge,0.491745,-0.140142
ag_news,32,0.2,symmetric,multinomial_nb,0.597368,-0.105391
ag_news,32,0.2,symmetric,softmax_logreg,0.540656,-0.141458
ag_news,32,0.2,symmetric,trimmed_softmax_logreg,0.383309,-0.244235
ag_news,32,0.3,class_conditional,linear_svm_hinge,0.499555,-0.132332
ag_news,32,0.3,class_conditional,multinomial_nb,0.541080,-0.161679
ag_news,32,0.3,class_conditional,softmax_logreg,0.499435,-0.182679
ag_news,32,0.3,class_conditional,trimmed_softmax_logreg,0.361002,-0.266542
ag_news,32,0.3,symmetric,linear_svm_hinge,0.462690,-0.169198
ag_news,32,0.3,symmetric,multinomial_nb,0.552532,-0.150226
ag_news,32,0.3,symmetric,softmax_logreg,0.480960,-0.201154
