dataset,budget_per_class,noise_rate,noise_type,method,mean_macro_f1,delta_macro_f1_vs_clean
dbpedia_14,64,0.3,symmetric,linear_svm_hinge,0.708988,-0.099554
dbpedia_14,64,0.3,symmetric,multinomial_nb,0.842234,-0.052353
dbpedia_14,64,0.3,symmetric,softmax_logreg,0.757979,-0.131333
dbpedia_14,64,0.3,symmetric,trimmed_softmax_logreg,0.580071,-0.083679
dbpedia_14,128,0.0,class_conditional,linear_svm_hinge,0.870594,0.000000
dbpedia_14,128,0.0,class_conditional,multinomial_nb,0.909493,0.000000
dbpedia_14,128,0.0,class_conditional,softmax_logreg,0.903772,0.000000
dbpedia_14,128,0.0,class_conditional,trimmed_softmax_logreg,0.680856,0.000000
dbpedia_14,128,0.0,symmetric,linear_svm_hinge,0.870594,0.000000
dbpedia_14,128,0.0,symmetric,multinomial_nb,0.909493,0.000000
dbpedia_14,128,0.0,symmetric,softmax_logreg,0.903772,0.000000
dbpedia_14,128,0.0,symmetric,trimmed_softmax_logreg,0.680856,0.000000
dbpedia_14,128,0.05,class_conditional,linear_svm_hinge,0.852627,-0.017967
dbpedia_14,128,0.05,class_conditional,multinomial_nb,0.899387,-0.010106
dbpedia_14,128,0.05,class_conditional,softmax_logreg,0.894955,-0.008817
dbpedia_14,128,0.05,class_conditional,trimmed_softmax_logreg,0.692198,0.011342
dbpedia_14,128,0.05,symmetric,linear_svm_hinge,0.871139,0.000545
dbpedia_14,128,0.05,symmetric,multinomial_nb,0.906165,-0.003328
dbpedia_14,128,0.05,symmetric,softmax_logreg,0.896818,-0.006954
dbpedia_14,128,0.05,symmetric,trimmed_softmax_logreg,0.720598,0.039742
dbpedia_14,128,0.1,class_conditional,linear_svm_hinge,0.833576,-0.037019
dbpedia_14,128,0.1,class_conditional,multinomial_nb,0.889934,-0.019559
dbpedia_14,128,0.1,class_conditional,softmax_logreg,0.876340,-0.027432
dbpedia_14,128,0.1,class_conditional,trimmed_softmax_logreg,0.673324,-0.007532
dbpedia_14,128,0.1,symmetric,linear_svm_hinge,0.854157,-0.016437
dbpedia_14,128,0.1,symmetric,multinomial_nb,0.901793,-0.007700
dbpedia_14,128,0.1,symmetric,softmax_logreg,0.884405,-0.019368
dbpedia_14,128,0.1,symmetric,trimmed_softmax_logreg,0.746138,0.065282
dbpedia_14,128,0.2,class_conditional,linear_svm_hinge,0.840918,-0.029677
dbpedia_14,128,0.2,class_conditional,multinomial_nb,0.855924,-0.053569
dbpedia_14,128,0.2,class_conditional,softmax_logreg,0.844149,-0.059623
dbpedia_14,128,0.2,class_conditional,trimmed_softmax_logreg,0.618620,-0.062236
dbpedia_14,128,0.2,symmetric,linear_svm_hinge,0.810838,-0.059756
dbpedia_14,128,0.2,symmetric,multinomial_nb,0.891325,-0.018168
dbpedia_14,128,0.2,symmetric,softmax_logreg,0.868069,-0.035703
dbpedia_14,128,0.2,symmetric,trimmed_softmax_logreg,0.715302,0.034446
dbpedia_14,128,0.3,class_conditional,linear_svm_hinge,0.805260,-0.065334
dbpedia_14,128,0.3,class_conditional,multinomial_nb,0.777275,-0.132217
dbpedia_14,128,0.3,class_conditional,softmax_logreg,0.741871,-0.161901
dbpedia_14,128,0.3,class_conditional,trimmed_softmax_logreg,0.522595,-0.158261
dbpedia_14,128,0.3,symmetric,linear_svm_hinge,0.772799,-0.097795
dbpedia_14,128,0.3,symmetric,multinomial_nb,0.872832,-0.036660
dbpedia_14,128,0.3,symmetric,softmax_logreg,0.823808,-0.079964
dbpedia_14,128,0.3,symmetric,trimmed_softmax_logreg,0.656322,-0.024534
trec_qc,8,0.0,class_conditional,linear_svm_hinge,0.432164,0.000000
trec_qc,8,0.0,class_conditional,multinomial_nb,0.436406,0.000000
trec_qc,8,0.0,class_conditional,softmax_logreg,0.446803,0.000000
trec_qc,8,0.0,class_conditional,trimmed_softmax_logreg,0.432128,0.000000
trec_qc,8,0.0,symmetric,linear_svm_hinge,0.432164,0.000000
trec_qc,8,0.0,symmetric,multinomial_nb,0.436406,0.000000
trec_qc,8,0.0,symmetric,softmax_logreg,0.446803,0.000000
trec_qc,8,0.0,symmetric,trimmed_softmax_logreg,0.432128,0.000000
trec_qc,8,0.05,class_conditional,linear_svm_hinge,0.417107,-0.015057
trec_qc,8,0.05,class_conditional,multinomial_nb,0.430254,-0.006152
trec_qc,8,0.05,class_conditional,softmax_logreg,0.439515,-0.007288
trec_qc,8,0.05,class_conditional,trimmed_softmax_logreg,0.429691,-0.002437
trec_qc,8,0.05,symmetric,linear_svm_hinge,0.429691,-0.002473
trec_qc,8,0.05,symmetric,multinomial_nb,0.407568,-0.028838
trec_qc,8,0.05,symmetric,softmax_logreg,0.438042,-0.008761
trec_qc,8,0.05,symmetric,trimmed_softmax_logreg,0.433190,0.001062
trec_qc,8,0.1,class_conditional,linear_svm_hinge,0.393058,-0.039107
trec_qc,8,0.1,class_conditional,multinomial_nb,0.368513,-0.067893
trec_qc,8,0.1,class_conditional,softmax_logreg,0.402708,-0.044095
trec_qc,8,0.1,class_conditional,trimmed_softmax_logreg,0.372994,-0.059135
trec_qc,8,0.1,symmetric,linear_svm_hinge,0.401262,-0.030902
trec_qc,8,0.1,symmetric,multinomial_nb,0.411595,-0.024811
trec_qc,8,0.1,symmetric,softmax_logreg,0.439441,-0.007362
trec_qc,8,0.1,symmetric,trimmed_softmax_logreg,0.389890,-0.042239
trec_qc,8,0.2,class_conditional,linear_svm_hinge,0.335798,-0.096366
trec_qc,8,0.2,class_conditional,multinomial_nb,0.347694,-0.088713
trec_qc,8,0.2,class_conditional,softmax_logreg,0.364263,-0.082540
trec_qc,8,0.2,class_conditional,trimmed_softmax_logreg,0.329934,-0.102194
trec_qc,8,0.2,symmetric,linear_svm_hinge,0.373932,-0.058232
trec_qc,8,0.2,symmetric,multinomial_nb,0.347977,-0.088429
trec_qc,8,0.2,symmetric,softmax_logreg,0.391892,-0.054911
trec_qc,8,0.2,symmetric,trimmed_softmax_logreg,0.367131,-0.064997
trec_qc,8,0.3,class_conditional,linear_svm_hinge,0.369500,-0.062664
trec_qc,8,0.3,class_conditional,multinomial_nb,0.336379,-0.100028
trec_qc,8,0.3,class_conditional,softmax_logreg,0.359730,-0.087072
trec_qc,8,0.3,class_conditional,trimmed_softmax_logreg,0.349207,-0.082921
trec_qc,8,0.3,symmetric,linear_svm_hinge,0.384321,-0.047843
trec_qc,8,0.3,symmetric,multinomial_nb,0.327727,-0.108679
trec_qc,8,0.3,symmetric,softmax_logreg,0.385635,-0.061168
trec_qc,8,0.3,symmetric,trimmed_softmax_logreg,0.322358,-0.109771
trec_qc,16,0.0,class_conditional,linear_svm_hinge,0.429150,0.000000
trec_qc,16,0.0,class_conditional,multinomial_nb,0.446068,0.000000
trec_qc,16,0.0,class_conditional,softmax_logreg,0.485475,0.000000
trec_qc,16,0.0,class_conditional,trimmed_softmax_logreg,0.480284,0.000000
trec_qc,16,0.0,symmetric,linear_svm_hinge,0.429150,0.000000
trec_qc,16,0.0,symmetric,multinomial_nb,0.446068,0.000000
trec_qc,16,0.0,symmetric,softmax_logreg,0.485475,0.000000
trec_qc,16,0.0,symmetric,trimmed_softmax_logreg,0.480284,0.000000
trec_qc,16,0.05,class_conditional,linear_svm_hinge,0.432386,0.003236
trec_qc,16,0.05,class_conditional,multinomial_nb,0.402346,-0.043722
trec_qc,16,0.05,class_conditional,softmax_logreg,0.454474,-0.031002
trec_qc,16,0.05,class_conditional,trimmed_softmax_logreg,0.448643,-0.031642
trec_qc,16,0.05,symmetric,linear_svm_hinge,0.434446,0.005296
trec_qc,16,0.05,symmetric,multinomial_nb,0.439434,-0.006634
trec_qc,16,0.05,symmetric,softmax_logreg,0.447187,-0.038288
trec_qc,16,0.05,symmetric,trimmed_softmax_logreg,0.411423,-0.068861
trec_qc,16,0.1,class_conditional,linear_svm_hinge,0.436470,0.007319
trec_qc,16,0.1,class_conditional,multinomial_nb,0.429560,-0.016509
trec_qc,16,0.1,class_conditional,softmax_logreg,0.465600,-0.019876
trec_qc,16,0.1,class_conditional,trimmed_softmax_logreg,0.445751,-0.034533
trec_qc,16,0.1,symmetric,linear_svm_hinge,0.412882,-0.016268
trec_qc,16,0.1,symmetric,multinomial_nb,0.454426,0.008357
trec_qc,16,0.1,symmetric,softmax_logreg,0.461646,-0.023830
trec_qc,16,0.1,symmetric,trimmed_softmax_logreg,0.434788,-0.045496
trec_qc,16,0.2,class_conditional,linear_svm_hinge,0.409590,-0.019560
trec_qc,16,0.2,class_conditional,multinomial_nb,0.362767,-0.083301
trec_qc,16,0.2,class_conditional,softmax_logreg,0.409915,-0.075560
trec_qc,16,0.2,class_conditional,trimmed_softmax_logreg,0.380485,-0.099800
trec_qc,16,0.2,symmetric,linear_svm_hinge,0.408854,-0.020296
trec_qc,16,0.2,symmetric,multinomial_nb,0.424844,-0.021225
trec_qc,16,0.2,symmetric,softmax_logreg,0.460818,-0.024657
trec_qc,16,0.2,symmetric,trimmed_softmax_logreg,0.453920,-0.026365
trec_qc,16,0.3,class_conditional,linear_svm_hinge,0.371254,-0.057896
trec_qc,16,0.3,class_conditional,multinomial_nb,0.346504,-0.099565
trec_qc,16,0.3,class_conditional,softmax_logreg,0.363466,-0.122009
trec_qc,16,0.3,class_conditional,trimmed_softmax_logreg,0.354420,-0.125864
trec_qc,16,0.3,symmetric,linear_svm_hinge,0.325312,-0.103838
trec_qc,16,0.3,symmetric,multinomial_nb,0.335830,-0.110238
trec_qc,16,0.3,symmetric,softmax_logreg,0.355005,-0.130470
trec_qc,16,0.3,symmetric,trimmed_softmax_logreg,0.318216,-0.162068
trec_qc,32,0.0,class_conditional,linear_svm_hinge,0.441436,0.000000
trec_qc,32,0.0,class_conditional,multinomial_nb,0.479240,0.000000
trec_qc,32,0.0,class_conditional,softmax_logreg,0.524755,0.000000
trec_qc,32,0.0,class_conditional,trimmed_softmax_logreg,0.518049,0.000000
trec_qc,32,0.0,symmetric,linear_svm_hinge,0.441436,0.000000
trec_qc,32,0.0,symmetric,multinomial_nb,0.479240,0.000000
trec_qc,32,0.0,symmetric,softmax_logreg,0.524755,0.000000
trec_qc,32,0.0,symmetric,trimmed_softmax_logreg,0.518049,0.000000
trec_qc,32,0.05,class_conditional,linear_svm_hinge,0.454145,0.012709
trec_qc,32,0.05,class_conditional,multinomial_nb,0.446407,-0.032834
trec_qc,32,0.05,class_conditional,softmax_logreg,0.502467,-0.022288
trec_qc,32,0.05,class_conditional,trimmed_softmax_logreg,0.472197,-0.045852
trec_qc,32,0.05,symmetric,linear_svm_hinge,0.443867,0.002431
trec_qc,32,0.05,symmetric,multinomial_nb,0.449058,-0.030183
trec_qc,32,0.05,symmetric,softmax_logreg,0.505136,-0.019619
trec_qc,32,0.05,symmetric,trimmed_softmax_logreg,0.473616,-0.044433
trec_qc,32,0.1,class_conditional,linear_svm_hinge,0.422963,-0.018473
trec_qc,32,0.1,class_conditional,multinomial_nb,0.415094,-0.064146
trec_qc,32,0.1,class_conditional,softmax_logreg,0.503467,-0.021287
trec_qc,32,0.1,class_conditional,trimmed_softmax_logreg,0.446055,-0.071994
trec_qc,32,0.1,symmetric,linear_svm_hinge,0.420201,-0.021235
trec_qc,32,0.1,symmetric,multinomial_nb,0.392533,-0.086708
trec_qc,32,0.1,symmetric,softmax_logreg,0.491569,-0.033186
trec_qc,32,0.1,symmetric,trimmed_softmax_logreg,0.422485,-0.095564
trec_qc,32,0.2,class_conditional,linear_svm_hinge,0.451794,0.010358
trec_qc,32,0.2,class_conditional,multinomial_nb,0.406259,-0.072982
trec_qc,32,0.2,class_conditional,softmax_logreg,0.434085,-0.090670
trec_qc,32,0.2,class_conditional,trimmed_softmax_logreg,0.417690,-0.100359
trec_qc,32,0.2,symmetric,linear_svm_hinge,0.421821,-0.019615
trec_qc,32,0.2,symmetric,multinomial_nb,0.413719,-0.065521
trec_qc,32,0.2,symmetric,softmax_logreg,0.468931,-0.055823
trec_qc,32,0.2,symmetric,trimmed_softmax_logreg,0.415173,-0.102876
trec_qc,32,0.3,class_conditional,linear_svm_hinge,0.384291,-0.057145
trec_qc,32,0.3,class_conditional,multinomial_nb,0.341145,-0.138096
trec_qc,32,0.3,class_conditional,softmax_logreg,0.395318,-0.129437
trec_qc,32,0.3,class_conditional,trimmed_softmax_logreg,0.389033,-0.129016
trec_qc,32,0.3,symmetric,linear_svm_hinge,0.375770,-0.065666
trec_qc,32,0.3,symmetric,multinomial_nb,0.383100,-0.096141
trec_qc,32,0.3,symmetric,softmax_logreg,0.413103,-0.111651
trec_qc,32,0.3,symmetric,trimmed_softmax_logreg,0.394733,-0.123316
trec_qc,64,0.0,class_conditional,linear_svm_hinge,0.484325,0.000000
trec_qc,64,0.0,class_conditional,multinomial_nb,0.498140,0.000000
trec_qc,64,0.0,class_conditional,softmax_logreg,0.562846,0.000000
trec_qc,64,0.0,class_conditional,trimmed_softmax_logreg,0.613037,0.000000
trec_qc,64,0.0,symmetric,linear_svm_hinge,0.484325,0.000000
trec_qc,64,0.0,symmetric,multinomial_nb,0.498140,0.000000
trec_qc,64,0.0,symmetric,softmax_logreg,0.562846,0.000000
trec_qc,64,0.0,symmetric,trimmed_softmax_logreg,0.613037,0.000000
trec_qc,64,0.05,class_conditional,linear_svm_hinge,0.478586,-0.005739
trec_qc,64,0.05,class_conditional,multinomial_nb,0.478945,-0.019195
trec_qc,64,0.05,class_conditional,softmax_logreg,0.560413,-0.002433
trec_qc,64,0.05,class_conditional,trimmed_softmax_logreg,0.535118,-0.077919
trec_qc,64,0.05,symmetric,linear_svm_hinge,0.526630,0.042306
trec_qc,64,0.05,symmetric,multinomial_nb,0.484293,-0.013847
trec_qc,64,0.05,symmetric,softmax_logreg,0.579457,0.016612
trec_qc,64,0.05,symmetric,trimmed_softmax_logreg,0.542208,-0.070829
trec_qc,64,0.1,class_conditional,linear_svm_hinge,0.489453,0.005128
trec_qc,64,0.1,class_conditional,multinomial_nb,0.464242,-0.033898
trec_qc,64,0.1,class_conditional,softmax_logreg,0.511433,-0.051413
trec_qc,64,0.1,class_conditional,trimmed_softmax_logreg,0.500931,-0.112106
trec_qc,64,0.1,symmetric,linear_svm_hinge,0.437605,-0.046719
trec_qc,64,0.1,symmetric,multinomial_nb,0.490711,-0.007429
trec_qc,64,0.1,symmetric,softmax_logreg,0.505108,-0.057737
trec_qc,64,0.1,symmetric,trimmed_softmax_logreg,0.500474,-0.112562
trec_qc,64,0.2,class_conditional,linear_svm_hinge,0.468099,-0.016226
trec_qc,64,0.2,class_conditional,multinomial_nb,0.424130,-0.074010
trec_qc,64,0.2,class_conditional,softmax_logreg,0.510801,-0.052045
trec_qc,64,0.2,class_conditional,trimmed_softmax_logreg,0.488933,-0.124104
trec_qc,64,0.2,symmetric,linear_svm_hinge,0.427694,-0.056631
trec_qc,64,0.2,symmetric,multinomial_nb,0.445027,-0.053113
trec_qc,64,0.2,symmetric,softmax_logreg,0.535314,-0.027532
trec_qc,64,0.2,symmetric,trimmed_softmax_logreg,0.468000,-0.145037
trec_qc,64,0.3,class_conditional,linear_svm_hinge,0.422712,-0.061613
trec_qc,64,0.3,class_conditional,multinomial_nb,0.414183,-0.083958
trec_qc,64,0.3,class_conditional,softmax_logreg,0.478441,-0.084405
trec_qc,64,0.3,class_conditional,trimmed_softmax_logreg,0.424635,-0.188402
trec_qc,64,0.3,symmetric,linear_svm_hinge,0.458964,-0.025360
trec_qc,64,0.3,symmetric,multinomial_nb,0.440291,-0.057849
trec_qc,64,0.3,symmetric,softmax_logreg,0.504567,-0.058279
trec_qc,64,0.3,symmetric,trimmed_softmax_logreg,0.484325,-0.128712
trec_qc,128,0.0,class_conditional,linear_svm_hinge,0.529682,0.000000
trec_qc,128,0.0,class_conditional,multinomial_nb,0.657713,0.000000
trec_qc,128,0.0,class_conditional,softmax_logreg,0.655438,0.000000
trec_qc,128,0.0,class_conditional,trimmed_softmax_logreg,0.659329,0.000000
trec_qc,128,0.0,symmetric,linear_svm_hinge,0.529682,0.000000
trec_qc,128,0.0,symmetric,multinomial_nb,0.657713,0.000000
trec_qc,128,0.0,symmetric,softmax_logreg,0.655438,0.000000
trec_qc,128,0.0,symmetric,trimmed_softmax_logreg,0.659329,0.000000
trec_qc,128,0.05,class_conditional,linear_svm_hinge,0.485220,-0.044463
trec_qc,128,0.05,class_conditional,multinomial_nb,0.621585,-0.036128
trec_qc,128,0.05,class_conditional,softmax_logreg,0.625999,-0.029439
trec_qc,128,0.05,class_conditional,trimmed_softmax_logreg,0.618158,-0.041171
trec_qc,128,0.05,symmetric,linear_svm_hinge,0.538167,0.008485
trec_qc,128,0.05,symmetric,multinomial_nb,0.619074,-0.038640
trec_qc,128,0.05,symmetric,softmax_logreg,0.650142,-0.005296
trec_qc,128,0.05,symmetric,trimmed_softmax_logreg,0.621402,-0.037927
trec_qc,128,0.1,class_conditional,linear_svm_hinge,0.557562,0.027879
trec_qc,128,0.1,class_conditional,multinomial_nb,0.609699,-0.048014
trec_qc,128,0.1,class_conditional,softmax_logreg,0.630304,-0.025134
trec_qc,128,0.1,class_conditional,trimmed_softmax_logreg,0.638086,-0.021243
trec_qc,128,0.1,symmetric,linear_svm_hinge,0.495085,-0.034598
trec_qc,128,0.1,symmetric,multinomial_nb,0.630506,-0.027207
trec_qc,128,0.1,symmetric,softmax_logreg,0.670852,0.015414
trec_qc,128,0.1,symmetric,trimmed_softmax_logreg,0.639085,-0.020244
trec_qc,128,0.2,class_conditional,linear_svm_hinge,0.497325,-0.032357
trec_qc,128,0.2,class_conditional,multinomial_nb,0.546612,-0.111101
trec_qc,128,0.2,class_conditional,softmax_logreg,0.604569,-0.050869
trec_qc,128,0.2,class_conditional,trimmed_softmax_logreg,0.571765,-0.087564
trec_qc,128,0.2,symmetric,linear_svm_hinge,0.472979,-0.056703
trec_qc,128,0.2,symmetric,multinomial_nb,0.547556,-0.110157
trec_qc,128,0.2,symmetric,softmax_logreg,0.606514,-0.048924
trec_qc,128,0.2,symmetric,trimmed_softmax_logreg,0.625711,-0.033617
trec_qc,128,0.3,class_conditional,linear_svm_hinge,0.502420,-0.027262
trec_qc,128,0.3,class_conditional,multinomial_nb,0.544390,-0.113323
trec_qc,128,0.3,class_conditional,softmax_logreg,0.604155,-0.051283
trec_qc,128,0.3,class_conditional,trimmed_softmax_logreg,0.575405,-0.083923
trec_qc,128,0.3,symmetric,linear_svm_hinge,0.500676,-0.029006
trec_qc,128,0.3,symmetric,multinomial_nb,0.538620,-0.119093
trec_qc,128,0.3,symmetric,softmax_logreg,0.578479,-0.076959
trec_qc,128,0.3,symmetric,trimmed_softmax_logreg,0.563019,-0.096310
