dataset,budget_per_class,noise_type,method,noise_sensitivity_area
trec_qc,64,symmetric,linear_svm_hinge,0.006614941516798937
trec_qc,64,symmetric,multinomial_nb,0.01171234129742316
trec_qc,64,symmetric,softmax_logreg,0.0132876291724573
trec_qc,64,symmetric,trimmed_softmax_logreg,0.030802458704174165
trec_qc,128,class_conditional,linear_svm_hinge,0.012765762953580782
trec_qc,128,class_conditional,multinomial_nb,0.029126203603910446
trec_qc,128,class_conditional,softmax_logreg,0.014258034933607791
trec_qc,128,class_conditional,trimmed_softmax_logreg,0.02199553935947403
trec_qc,128,symmetric,linear_svm_hinge,0.013227589871779773
trec_qc,128,symmetric,multinomial_nb,0.027459698256208698
trec_qc,128,symmetric,softmax_logreg,0.008551590285464285
trec_qc,128,symmetric,trimmed_softmax_logreg,0.016497996560746693
